india and japan prime ministers meet in tokyo	die premierminister indiens und japans trafen sich in tokio
for generations americans accepted the basic premise that labor rights are human rights	seit generationen akzeptieren amerikaner die grundpramisse dass arbeitsrechte menschenrechte sind
when this country counseled other countries on how to forge civil and democratic societies americans explained that the right to organize a trade union and to have that trade union engage in collective bargaining as an equal partner with corporations and government agencies had to be protected	als dieses land anderen landern dabei beriet wie man zivile und demokratische gesellschaften formen konne erklarten amerikaner dass das recht auf die grundung einer gewerkschaft und darauf dass diese gewerkschaft dann an kollektivverhandlungen als gleichwertiger partner mit unternehmen und regierungsstellen teilnehmen durfe geschutzt werden musse
now with those rights under assault in america it is wise indeed to recommit to the american ideal that working people must have a right to organize and to make their voices heard in a free and open society	nachdem diese rechte in amerika unter beschuss gerieten ist es tatsachlich sehr weise sich das amerikanische ideal wieder vor augen zu fuhren demzufolge die arbeitende bevolkerung das recht haben muss sich zu vereinigen und sich in einer freien und offenen gesellschaft gehor zu verschaffen
as the reverend martin luther king jr said fifty years ago	wie pastor martin luther king jr vor funfzig jahren sagte
history is a great teacher	die geschichte ist ein groartiger lehrmeister
now everyone knows that the labor movement did not diminish the strength of the nation but enlarged it	jetzt wissen alle dass die arbeiterbewegung die starke der nation nicht einschrankte sondern sie vergroerte
by raising the living standards of millions labor miraculously created a market for industry and lifted the whole nation to undreamed of levels of production	durch die anhebung des lebensstandards von millionen menschen hat arbeit auf wundersame weise einen markt fur die industrie geschaffen und die gesamte nation auf unvorstellbare produktionsniveaus angehoben
those who attack labor forget these simple truths but history remembers them	diejenigen die die arbeit angreifen vergessen diese einfachen wahrheiten aber die geschichte bewahrt sie
history remembers as should we	die geschichte erinnert sich und das sollten wir auch tun
the formal recognition of labor rights as human rights and the extension of civil rights protections to prevent discrimination against labor organizing is long overdue	die formelle anerkennung der arbeitsrechte als menschenrechte und die erweiterung des schutzes der burgerrechte als schutz gegen diskriminierung bei der schaffung von arbeitnehmervertretungen ist langst uberfallig
keith ellison and john lewis are renewing ideals that have historically enlarged america and made real the promise of democracy	keith ellison und john lewis erneuern die ideale die amerika in der vergangenheit gro gemacht haben und das versprechen von demokratie einlosten
judge temporarily blocks law that could close all louisiana abortion clinics	richter stoppt zeitweilig gesetz dass alle abtreibungskliniken in louisiana zur schlieung zwingen konnte
a us federal judge on sunday temporarily blocked enforcement of a louisiana law that advocates say would likely have closed all five abortion clinics in the state	ein usbundesrichter stoppte am sonntag vorlaufig die umsetzung eines gesetzes in louisiana von dem anwalte sagen dass es vermutlich zur schlieung aller funf abtreibungskliniken des staates gefuhrt hatte
the measure signed into law by louisiana governor bobby jindal in june and due to take effect sept would require doctors who perform abortions to have patient admitting privileges at a hospital within miles of their practice	diese manahme die von bobby jindal gouverneur von louisiana im juni zum gesetz erhoben wurde und am sept in kraft treten soll wurde arzte die abtreibungen durchfuhren dazu zwingen ein patientenaufnahmerecht bei einem krankenhaus innerhalb eines radius von meilen um ihre praxis zu erwerben
however the judges ruling means that for the time being doctors can continue to perform legal abortions while seeking such privileges	die entscheidung des richters bedeutet jedoch dass die arzte vorlaufig weiterhin legal abtreibungen durchfuhren konnen wahrend sie ein solches recht beantragen
plaintiffs will be allowed to operate lawfully while continuing their efforts to obtain privileges federal judge john degravelles wrote in the decision	die klager konnen gesetzeskonform weiterarbeiten wahrend sie sich um die erlangung dieser rechte bemuhen schrieb bundesrichter john degravelles in seinem urteil
a hearing will be scheduled within a month for the judge to make a more permanent ruling on the law	innerhalb eines monats wird eine anhorung fur den richter angesetzt um fur das gesetz eine dauerhaftere entscheidung herbeizufuhren
abortion rights activists applauded the decision the latest in a string of rulings against similar measures saying it would give doctors more time to seek hospital privileges	abtreibungsbefurworter begruten die entscheidung die jungste in einer reihe von urteilen gegen ahnliche manahmen und sagten dass arzte so mehr zeit gewannen um krankenhauseinweisungsrechte zu erlangen
todays ruling ensures louisiana women are safe from an underhanded law that seeks to strip them of their health and rights said nancy northup president and chief executive of the center for reproductive rights which sued to block the law on behalf of three of the states five clinics	die heutige entscheidung bedeutet dass die frauen in louisiana einem hinterhaltigen gesetz entgehen das ihnen ihre gesundheit und ihre rechte nehmen will sagte nancy northup prasidentin und vorsitzende des zentrums fur reproduktionsrechte das im namen von drei der funf kliniken des staates geklagt hatte um das gesetz aufzuhalten
it was not immediately clear whether the ruling applied to doctors from the two clinics who were not plaintiffs in the suit and have also applied for admitting privileges	es war nicht unmittelbar klar ob sich das urteil auch auf die arzte aus den zwei kliniken erstreckte die sich der klage nicht angeschlossen und ebenfalls einweisungsrechte beantragt hatten
louisiana is among states that have passed similar laws with courts recently ruling unconstitutional such measures in alabama and mississippi	louisiana ist einer von staaten die ahnliche gesetze erlassen haben wobei gerichte kurzlich solche manahmen in alabama und mississippi fur nicht verfassungsgema erklart haben
key parts of a texas law that would have shuttered most remaining clinics in that state were blocked by a federal judge on friday	schlusselstellen eines gesetzes in texas das die meisten der im staat verbliebenen kliniken zur schlieung gezwungen hatte wurden von einem bundesrichter am freitag gestoppt
abortion rights campaigners along with the american college of obstetricians and gynecologists and the american medical association say admitting privileges laws impose medically unnecessary requirements on doctors	abtreibungsbefurworter und das american college of ostretricians and gynecologists sowie die american medical association sagen ubereinstimmend dass einweisungsrechte von arzten unnotige einschrankungen verlangen
antiabortion advocates have countered that the measures aim to protect womens health though some have also lauded their effect of shuttering clinics	abtreibungsgegner halten dem entgegen dass die manahmen dem schutz der gesundheit der frauen dienen obwohl einige auch die auswirkungen einer schlieung von kliniken begruten
only one doctor who performs abortions in louisiana has hospital admitting privileges the center for reproductive rights said	nur ein arzt der in louisiana abtreibungen durchfuhrt verfugt uber patienteineinweiserechte teilte das zentrum fur reproduktionsrechte mit
if all other doctors in the state are forced to stop performing abortions that doctor fearful for his safety would stop carrying out the procedure the group said	wenn alle ubrigen arzte im staat dazu gezwungen werden keine abtreibungen mehr durchzufuhren wurde dieser arzt aus angst um seine sicherheit die operation nicht mehr durchfuhren sagte die gruppe
in arguing against the ruling louisiana officials said they would not punish doctors performing abortions while their applications for admitting privileges were pending	bei ihrer argumentation gegen das urteil sagten vertreter des staates louisiana dass sie keine arzte wegen der durchfuhrung von abtreibungen bestrafen wurden wahrend deren antrage auf patienteneinweiserechte noch anhangig waren
delayed diagnosis and inability to access best treatment mean ovarian cancer kills more in rural areas	verzogerte diagnosen und mangelnder zugang zu den besten behandlungsmoglichkeiten fuhren zu hoheren todesraten durch eierstockkrebs in landlichen gebieten
angelina jolie and her brother james have posted a video tribute to their late mother who died of ovarian cancer in	angelina jolie und ihr bruder james haben eine videohommage fur ihre mutter online gestellt die an eierstockkrebs verstarb
women living in rural australia are at higher risk of dying from ovarian cancer than their city counterparts	fur frauen in den landlichen gebieten australiens besteht ein hoheres risiko an eierstockkrebs zu sterben als fur frauen in stadten
researchers analysed medical records of more than australian women diagnosed with ovarian cancer in finding just per cent lived for five years after diagnosis	forscher analysierten die medizinischen daten von mehr als australierinnen bei denen eierstockkrebs festgestellt wurde und stellten fest dass lediglich prozent funf jahre nach der diagnose noch am leben waren
lead researcher susan jordan of the qimr berghofer medical research institute said those living in regional and remote areas of the state were about per cent more likely to die during the study than those in urban areas	die forschungsleiterin susan jordan vom qimr berghofer medical research institute sagte dass fur diejenigen die in landlichen und abgelegenen regionen des staates lebten das sterblichkeitsrisiko wahrend der studie um prozent hoher lag als fur diejenigen in stadtgebieten
small study new drugs may slow lung ovarian cancer	kleine studie neue arzneimittel konnten lungen und eierstockkrebs verlangsamen
the researchers tracked the womens medical journeys across seven years	die forscher untersuchten die medizinische versorgung der frauen uber sieben jahre
dr jordan said a womans age at the time of diagnosis ovarian cancer type having existing illnesses and socioeconomic status also impacted on survival chances	dr jordan sagte dass das alter einer frau bei der diagnose der typ des eierstockkrebses bestehende vorerkrankungen sowie der soziale und wirtschaftliche status ebenfalls die uberlebenschancen beeinflussten
older women and those whose cancer was more advanced at the time of diagnosis had the poorest survival rates	fur altere frauen und diejenigen deren krebs zum diagnosezeitpunkt bereits weiter fortgeschritten war lag die uberlebensrate am niedrigsten
those living in regional and remote areas of the state were about per cent more likely to die during the study than those in urban areas	fur diejenigen die in landlichen und abgelegenen regionen des staates lebten lag das sterblichkeitsrisiko wahrend der studie um prozent hoher als fur diejenigen in stadtgebieten
although the study was not designed to determine why women living outside the city were more likely to die from ovarian cancer dr jordan suggested delayed diagnosis and inability to access best treatment might be factors	obwohl die studie nicht untersuchte warum auerhalb der stadt lebende frauen mit hoherer wahrscheinlichkeit an eierstockkrebs starben vermutet dr jordan eine verspatete diagnose und den mangelnden zugang zu den besten behandlungszentren als mogliche faktoren dafur
this disease is best treated by gynaecological oncology surgeons and theyre mostly based in major cities she said	diese krankheit wird am besten von gynakologischen onkologen behandelt und diese sind meistens in groeren stadten zu finden sagte sie
despite improving telemedicine services to lessen the tyranny of distance she suggested more flyin flyout services to allow specialists to treat women closer to home and programs to support people in treatment away from their communities could help	trotz der verbesserung der telemedizinischen dienste um den entfernungen etwas entgegenzusetzen schlug sie als mogliche abhilfe eine verstarkung des service von eingeflogenen arzten vor um spezialisten die moglichkeit zu geben frauen dichter an deren wohnort zu versorgen sowie behandlungsprogramme fur menschen auerhalb ihrer region
dr jordan said regardless of geographical status the study found longterm survival among women with ovarian cancer was poor reinforcing the need for better treatment and prevention strategies	dr jordan sagte dass die studie unabhangig vom geographischen status eine schlechte langzeituberlebensrate bei frauen im eierstockkrebs ergab und unterstrich den bedarf an besserer behandlung und vorsorgestrategien
the research funded by the rio tinto ride to conquer cancer will be published today in the medical journal of australia	die von rio tinto ride to conquer cancer finanzierte studie wird heute im medical journal of australia veroffentlicht
in march at years of age young gold coast mum elisha neave was told that she had an aggressive form of ovarian cancer	im marz erfuhr elisha neave eine junge mutter von jahren von der goldkuste dass sie eine aggressive form von eierstockkrebs hatte
garden centres rue fall in homeowners	gartenzentren bedauern sinkende hausbesitzerzahlen
the drop coupled with a particular decline in the number of homeowners aged under could result in garden centres losing out on tens of millions of pounds a year when todays young consumers reach the core gardening age group according to the htas study which was reported by the financial times	der ruckgang zusammen mit einem verstarkten sinken der anzahl der hausbesitzer unter jahren konnte dazu fuhren dass gartenzentren zehntausende pfund pro jahr verlieren wenn die heutigen jungen konsumenten nach einer studie der hta wie in der financial times berichtet die kernaltersgruppe fur gartenprodukte erreichen
according to the report people renting properties spend an average of per cent of the amount that those with their own homes spend on their gardens	der bericht besagt dass mieter durchschnittlich prozent des betrages ausgeben die menschen mit eigenheim fur ihren garten ausgeben
it cited the rise in people living in highly urbanised areas with no gardens the popularity of paving over front gardens for parking and shrinking garden size as other factors threatening the industry which is worth an estimated billion in sales each year	der anstieg von menschen die in hoch urbanisierten gegenden ohne garten leben das beliebte verfahren vorgarten zu parkzwecken zu asphaltieren und die sinkende gartengroe sind weitere faktoren die die branche bedrohen in der geschatzt milliarden jahrlich im verkauf umgesetzt werden
greater london where home ownership has fallen from per cent to per cent in six years has britains lowest spend per household on gardening products	im groraum london in dem uber einen zeitraum von jahren der anteil an hauseigentumern von auf prozent gefallen ist werden die geringsten ausgaben fur gartenprodukte pro haushalt vermeldet
the hta and royal horticultural society said that renting property or a lack of garden space did not mean people could not grow plants	die hta und die royal horticultural society weisen darauf hin dass wohnen zur miete oder kleine garten nicht bedeuten dass die menschen keine pflanzen ziehen konnen
guy barter chief horticultural adviser to the rhs said container gardening for example is especially popular with renters who can move their plants when they relocate	guy barter chefgartenberater fur die rhs sagte containergartnern ist beispielsweise bei mietern sehr beliebt weil sie ihre pflanzen bei einem umzug mitnehmen konnen
the hta report identified the period between and as the garden retail sectors golden age as a result of increased home ownership and economic prosperity from the late to	der htabericht identifizierte den zeitraum zwischen und als das goldene zeitalter des garteneinzelhandels aufgrund steigender hauseigentumerzahlen und wirtschaftlichen wohlstands von den spaten bis zur mitte der jahre
it also predicted an improved market this year due to better weather following unfavourable conditions in march and april last year	er prognostizierte fur dieses jahr auerdem eine verbesserte marktsituation wegen des besseren wetters nach unfreundlichen wetterbedingungen im marz und april letzten jahres
in pakistan the protest movement led by political opponent imran khan and the spiritual leader tahirul qadri continues	die vom oppositionspolitiker imran khan und dem geistlichen tahirul qadri angefuhrte protestbewegung in pakistan geht weiter
in the capital city of islamabad around demonstrators stormed the governmentrun television station ptv	in der hauptstadt islamabad haben rund demonstranten den staatlichen fernsehsender ptv gesturmt
however information minister pervaiz rashid said that soldiers had been able to force the protesters back out of the building	informationsminister pervaiz rashid sagte soldaten hatten die protestierer aber wieder aus ptvgebaude drangen konnen
the tv station stopped broadcasting for approximately minutes but has since begun to broadcast again	der sender stellte seinen betrieb fur rund minuten ein sendet inzwischen aber wieder
at the same time around demonstrators attempted to reach the official residency of prime minister nawaz sharif	gleichzeitig versuchten rund demonstranten zur residenz von premierminister nawaz sharif zu gelangen
approximately one kilometre away they clashed with security security services armed with sticks and stones	rund einen kilometer entfernt davon lieferten sie sich mit stocken und steinen ausgerustet zusammenstoe mit sicherheitskraften
the police used tear gas	die polizei setzte tranengas ein
the demonstrators demanded sharifs resignation which he refused	die demonstranten forderten sharifs rucktritt dieser lehnt das aber ab
the pakistan army called for a political solution to the conflict without delay and without resorting to violence	die armee des landes mahnt derweil zu einer politischen losung des konflikts ohne zeit zu verschwenden und ohne gewalt anzuwenden
following a meeting at its headquarters on sunday evening the military announced the army remains committed to its task of ensuring security for the state	nach einer sitzung im hauptquartier am sonntagabend teilte das militar mit die armee bleibt ihrer rolle verpflichtet die sicherheit des staates zu gewahrleisten
the military plays an important role in pakistan and has taken power by force several times in the past	das militar spielt in pakistan eine wichtige rolle und hat bereits haufiger geputscht
the opposition politician imran khan accuses prime minister sharif of rigging the parliamentary elections which took place in may last year	der oppositionspolitiker imran khan wirft premier sharif vor bei der parlamentswahl im mai vergangenen jahres betrogen zu haben
the protests escalated at the weekend after khan and qadri called on their followers to advance to sharifs residence	die proteste waren am wochenende eskaliert nachdem khan und qadri ihre anhanger dazu aufgerufen hatten zu sharifs residenz vorzudringen
there were three people killed	dabei waren drei menschen getotet worden
turkey summons us diplomat over spying report	turkei bestellt usdiplomat wegen spionageberichts ein
the turkish foreign ministry has summoned the most senior us diplomat in the country for clarification of a report about american and british spying in turkey	das turkische auenministerium hat den dienstaltesten usdiplomaten des landes zu auskunften eines berichts uber amerikanische und britische spionage in der turkei einbestellt
deputy prime minister bulent said the us charge daffaires and turkish officials had discussed the report monday	vizepremierminister bulent sagte dass der geschaftstrager der usbotschaft und turkische beamte den bericht am montag besprochen hatten
german magazine der spiegel and the online magazine the intercept said that documents provided by former us national security agency analyst edward snowden show that turkey was a high priority intelligence target for us and british intelligence services	das deutsche magazin der spiegel sowie das onlinemagazin the intercept meldeten dass die von dem fruheren usanalysten der nationalen sicherheitsagentur edward snowden zeigen dass die turkei ein haupttatigkeitsgebiet fur die usamerikanischen und britischen geheimdienste war
according to turkish news wires turkish president recep tayyip erdogan downplayed the importance of the report saying that all major countries spied on each other	nach angaben turkischer nachrichtenagenturen spielte der turkische prasident recep tayyip erdogan die wichtigkeit des berichts herunter und sagte dass alle wichtigen lander sich gegenseitig ausspionierten
an earlier report that germanys main intelligence agency had also targeted ankara drew a more angry response from the turkish government	ein fruherer bericht dass auch der wichtigste geheimdienst deutschlands ankara im visier hatte sorgte fur deutlich verargertere reaktionen der turkischen regierung
warning strike train drivers threaten to strike causing problems for commuters	warnstreik lokfuhrer drohen mit folgen fur pendler
the nationwide waning strike made by train drivers on monday evening could also have a negative impact on passenger services in nw	der bundesweite warnstreik der lokfuhrer am montagabend konnte auch den personenverkehr in nrw beeintrachtigen
the announced walkout will last for between and hours will affect all transport companies across germany including mainline rail regional trains and city trains	der fur bis uhr angekundigte ausstand betreffe bundesweit alle verkehrsgesellschaften auch den fern regional und sbahnverkehr
the brunt of the strike will affect the transport of goods	die hauptstorichtung des warnstreiks ist der guterverkehr
image a burgiarchive	foto a burgiarchiv
according to the announcement made in dusseldorf by the district chairperson for the union of german train drivers gdl sven schmitte	sagte der bezirksvorsitzende der gewerkschaft deutscher lokomotivfuhrer gdl sven schmitte in dusseldorf
we are expecting there to be a significant amount of cancellations	wir rechnen mit erheblichen ausfallen
we are not targeting any regions	regionale schwerpunkte gebe es nicht
the brunt of the strike will affect the transport of goods	die hauptstorichtung des warnstreiks sei der guterverkehr
deutsch bahn in nw has announced that they will do everything they can to ensure disruptions are kept to a minimum	die deutsche bahn in nrw kundigte an alles zu tun um die auswirkungen moglichst gering zu halten
the gdl have not said however where they will strike making it difficult to predict exactly what the consequences will be	die gdl habe jedoch nicht gesagt wo sie streiken wolle so dass es schwer sei die folgen konkret vorherzusehen
magaluf police chief charged over corruption	polizeichef von magaluf der korruption angeklagt
the claimants presented proof of extortion by policemen and calvia town hall civil servants at mallorcas public prosecutors office on friday	die anklager legten am freitag dem buro des staatsanwaltes von mallorca beweise fur erpressungen durch polizisten und angestellte der stadt calvia vor
the head of calvia police on the holiday island of majorca has been arrested following corruption claims filed by businessmen and bar owners in the notorious binge drinking hotspot of magaluf	der chef der polizei von calvia auf der ferieninsel mallorca wurde nach korruptionsvorwurfen von geschaftsleuten und barbesitzern im beruchtigten bingedrinkinghotspot magaluf verhaftet
chief inspector jose antonio navarro has been remanded in custody following corruption claims made against him by several businessmen from punta ballena the street where most of magalufs bars and nightclubs are located	hauptkommissar jose antonio navarro wurde nach korruptionsvorwurfen gegen ihn von mehreren geschaftsleuten aus punta ballena der strae in der die meisten bars und nachtclubs von magaluf liegen in untersuchungshaft genommen
according to online daily mallorca diario the claimants presented proof of extortion by policemen and calvia town hall civil servants at the office of majorcas anticorruption prosecutor on friday	nach angaben der onlinetageszeitung mallorca diario legten die anklager dem buro des staatsanwalts fur korruptionsbekampfung mallorcas am freitag beweise fur erpressungen durch polizisten und angestellte der stadt calvia vor
two other local police officers were arrested by spanish civil guards in connection to the corruption claims and will have to be questioned by a judge alongside navarro	zwei weitere ortspolizisten wurden von der spanischen guardia civil in verbindung mit den korruptionsvorwurfen festgenommen und werden gemeinsam mit navarro von einem richter befragt
spanish national daily abc reported the disgruntled nightclub owners as saying favouritism by authorities was having a serious effect on their businesses	die nationale spanische tageszeitung abc berichtete dass die verargerten nachtklubbesitzer aussagten die vetternwirtschaft der behorden habe schwerwiegende auswirkungen auf ihre geschafte
its not about making money anymore its about surviving one of the businessmen told the court	es geht nicht mehr ums geldverdienen es geht ums uberleben sagte einer der geschaftsleute dem gericht
you dont mess with our livelihoods	lasst unsere lebensgrundlage aus dem spiel
we have nothing to lose	wir haben nichts zu verlieren
magaluf made international headlines this summer as a result of a viral youtube video which showed an british holidaymaker performing fellatio on men during a pub crawl	magaluf machte in diesem sommer aufgrund eines viralen youtubevideos internationale schlagzeilen in dem ein britischer tourist gezeigt wurde der an mannern wahrend einer sauftour fellatio vollzog
island authorities have since attempted to clamp down on the drunk and disorderly behaviour of magaluf holiday revellers by minimizing numbers on the notorious alcoholfuelled bar crawls	die inselbehorden haben seither versucht das ordnungswidrige verhalten alkoholisierter urlauber in magaluf zu stoppen indem die anzahl der teilnehmer an den beruchtigten alkoholgetrankten kneipentouren minimiert wurde
in addition the playhouse club where the fellatio incident took place was forced to shut down for a year while playhouse and the bar crawl organizers carnage were jointly fined	der playhouse club in dem der fellatiovorfall stattfand wurde fur ein jahr zur schlieung gezwungen wahrend playhouse und der kneipentourorganisator carnage gemeinsam eine strafe von zahlen mussen
the tourist resort of magaluf mainly popular with young british holidaymakers has also seen numerous alcoholfuelled accidents involving the craze known as balconing where people jump from one balcony to another or from a balcony into the hotel pool	der touristenort magaluf der vor allem bei jungen britischen urlaubern beliebt ist ist auch fur etliche unfalle unter alkoholeinfluss bekannt darunter auch den trend des balconing bei dem menschen von einem balkon zum anderen oder von einem balkon in den hotelpool springen
first day of spring marked with wet and blustery conditions impacting adelaide airport flights	der erste fruhlingstag mit nassen und sturmischen wetterbedingungen beeintrachtigt fluge vom flughafen adelaide
